==========
Args:Namespace(dataset='datasets/eccv16_dataset_summe_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/summe_splits_2.json', split_id=1, metric='summe', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/summe-split1-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/summe/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_summe_google_pool5.h5
# total videos 25. # train videos 20. # test videos 5
Initialize model
==> Start training
epoch 1/60	 reward 1.518331722021103	 loss 5.678778648376465
epoch 2/60	 reward 1.5191944801807404	 loss 4.8397135734558105
epoch 3/60	 reward 1.5190300142765047	 loss 3.902094841003418
epoch 4/60	 reward 1.5199855470657346	 loss 3.928084135055542
epoch 5/60	 reward 1.5195164012908937	 loss 3.4199414253234863
epoch 6/60	 reward 1.5199618148803713	 loss 2.8868584632873535
epoch 7/60	 reward 1.5173363709449768	 loss 3.0622050762176514
epoch 8/60	 reward 1.5177624762058257	 loss 2.7414710521698
epoch 9/60	 reward 1.5197618198394776	 loss 2.255577564239502
epoch 10/60	 reward 1.5193933343887327	 loss 2.1110570430755615
epoch 11/60	 reward 1.5191524660587312	 loss 1.701195478439331
epoch 12/60	 reward 1.5177748477458954	 loss 1.7150455713272095
epoch 13/60	 reward 1.5177939307689665	 loss 1.6246981620788574
epoch 14/60	 reward 1.5200491118431088	 loss 1.2651557922363281
epoch 15/60	 reward 1.5194768869876862	 loss 1.1727796792984009
epoch 16/60	 reward 1.520044770240784	 loss 1.1660139560699463
epoch 17/60	 reward 1.5192547452449796	 loss 0.973136305809021
epoch 18/60	 reward 1.5204085612297058	 loss 0.8875468373298645
epoch 19/60	 reward 1.5184727764129637	 loss 0.7748072743415833
epoch 20/60	 reward 1.5200931715965273	 loss 0.6570771336555481
epoch 21/60	 reward 1.5192796206474306	 loss 0.6323423385620117
epoch 22/60	 reward 1.5186307644844055	 loss 0.6168122291564941
epoch 23/60	 reward 1.5189472091197969	 loss 0.5317724943161011
epoch 24/60	 reward 1.5224958157539368	 loss 0.5037463903427124
epoch 25/60	 reward 1.5191564548015593	 loss 0.46441513299942017
epoch 26/60	 reward 1.5196751248836518	 loss 0.383907675743103
epoch 27/60	 reward 1.517718516588211	 loss 0.3676782250404358
epoch 28/60	 reward 1.519713646173477	 loss 0.33784303069114685
epoch 29/60	 reward 1.5185857129096985	 loss 0.2955828309059143
epoch 30/60	 reward 1.5213898694515229	 loss 0.2755669057369232
epoch 31/60	 reward 1.5192573153972626	 loss 0.24721841514110565
epoch 32/60	 reward 1.520992327928543	 loss 0.21344241499900818
epoch 33/60	 reward 1.519866244792938	 loss 0.17394785583019257
epoch 34/60	 reward 1.5185629534721374	 loss 0.17708991467952728
epoch 35/60	 reward 1.5208448755741122	 loss 0.13110336661338806
epoch 36/60	 reward 1.52025957942009	 loss 0.14048528671264648
epoch 37/60	 reward 1.5223482549190521	 loss 0.14447587728500366
epoch 38/60	 reward 1.5203255820274355	 loss 0.09162890166044235
epoch 39/60	 reward 1.5196581137180327	 loss 0.09711182117462158
epoch 40/60	 reward 1.5205702519416808	 loss 0.0810665413737297
epoch 41/60	 reward 1.5203558063507079	 loss 0.05843019485473633
epoch 42/60	 reward 1.520650384426117	 loss 0.05436181277036667
epoch 43/60	 reward 1.5209899055957794	 loss 0.0681072250008583
epoch 44/60	 reward 1.51974396109581	 loss 0.06243704631924629
epoch 45/60	 reward 1.5193397319316864	 loss 0.06422159820795059
epoch 46/60	 reward 1.5208866727352142	 loss 0.04592852294445038
epoch 47/60	 reward 1.5190252554416657	 loss 0.007361165247857571
epoch 48/60	 reward 1.5204940617084504	 loss 0.03972847759723663
epoch 49/60	 reward 1.520803555250168	 loss 0.029136892408132553
epoch 50/60	 reward 1.520581489801407	 loss 0.03170354291796684
epoch 51/60	 reward 1.5196551692485811	 loss 0.01682090200483799
epoch 52/60	 reward 1.5191171681880953	 loss 0.013110937550663948
epoch 53/60	 reward 1.5209837198257445	 loss 0.011634593829512596
epoch 54/60	 reward 1.5193522524833678	 loss 0.018075864762067795
epoch 55/60	 reward 1.521199072599411	 loss 0.0070606134831905365
epoch 56/60	 reward 1.5205559730529785	 loss 0.016399189829826355
epoch 57/60	 reward 1.51929456949234	 loss 0.02448323555290699
epoch 58/60	 reward 1.5233828997612	 loss 0.026957567781209946
epoch 59/60	 reward 1.5225634682178497	 loss 0.01021500863134861
epoch 60/60	 reward 1.519853472709656	 loss 0.018662631511688232
==> Test
---  --------  -------
No.  Video     F-score
1    video_15  55.1%
2    video_18  53.5%
3    video_20  45.4%
4    video_4   65.5%
5    video_7   28.0%
---  --------  -------
Average F1-score 49.5%
Finished. Total elapsed time (h:m:s): 0:00:10
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/summe-split1-mode1-e60/summe_model_epoch_60_split_id_1-gru.pth.tar
